Country,Total_Laid_off
Argentina,373.0
Australia,2664.0
Austria,370.0
Belgium,50.0
Brazil,7029.0
Canada,9351.0
Cayman Islands,60.0
Chile,495.0
China,825.0
Czech Republic,316.0
Denmark,414.0
Estonia,386.0
Finland,250.0
France,1180.0
Germany,24264.0
Hong Kong,730.0
India,33190.0
Indonesia,3371.0
Ireland,751.0
Israel,5108.0
Japan,9120.0
Kenya,2042.0
Lithuania,0.0
Malaysia,100.0
Mexico,170.0
Netherlands,350.0
New Zealand,1025.0
Nigeria,970.0
Norway,285.0
Pakistan,0.0
Poland,325.0
Portugal,80.0
Russia,400.0
Senegal,300.0
Singapore,5190.0
South Korea,350.0
Spain,393.0
Sweden,12657.0
Switzerland,62.0
Thailand,55.0
UK,16733.0
USA,351296.0
United Arabian Emirates,1088.0
Uruquay,104.0
